,aggregate_7,aggregate_8,aggregate_9,aggregate_10,hvac_7,hvac_8,hvac_9,hvac_10,fridge_7,fridge_8,fridge_9,fridge_10,area
232,0.484138673166,0.495422070519,0.371931415803,694.200195312,338.407409668,334.595458984,63.4638519287,15.1407661438,,,,,0.262652869238
547,0.550197756524,0.507524803181,0.608890619694,1517.99645996,34.3734169006,18.198682785,8.90818405151,0.43763333559,,,,,0.39285042333
698,0.529120487976,0.438694572413,0.411129457913,851.687927246,168.810211182,61.5194702148,2.29999995232,0.118233337998,64.1912002563,57.1338653564,54.8237495422,50.2558174133,0.289369708373
1350,0.180679589773,0.23021018688,0.124129626178,408.752807617,16.5324840546,65.8031616211,0.599133312702,3.86748337746,66.5167999268,77.8186645508,59.6872329712,57.7977638245,0.282220131703
1766,0.22540614167,0.230578220951,0.20178380953,452.14251709,,,,,,,,,0.325870178739
1879,0.504281158691,0.44335830734,0.301664663953,754.656860352,294.709777832,174.642089844,0.552866637707,0.146300002933,85.3706512451,84.2052001953,73.0295181274,73.7922210693,0.619190968956
2144,0.579851759882,0.52580298294,0.410075297434,175.338424683,598.515563965,490.403564453,303.959320068,0.00201666657813,59.2767333984,56.9021987915,55.1436500549,19.7625656128,0.133019755409
2523,0.754973225639,0.595663795747,0.519899213928,1000.51861572,135.6484375,70.2801818848,15.2371997833,8.04738330841,78.4063644409,75.180015564,69.1874847412,63.1645812988,0.653621825024
2903,0.345137056363,0.277247951899,0.264844640545,503.319335938,120.667900085,73.5852966309,54.0042648315,15.9353666306,78.2626190186,72.7847213745,63.0939331055,67.7478485107,0.417121354657
3104,0.110491904599,0.109130930447,0.116766918001,248.196533203,11.79986763,1.09570002556,0.0204500015825,0.0086499992758,54.7405357361,53.2728996277,48.9351997375,45.4246482849,0.133019755409
3353,0.264121599336,0.262682540941,0.23544842194,444.82800293,,,,,106.416915894,107.19103241,98.0344543457,95.3682327271,0.258701787394
3734,0.403732573375,0.309295754803,0.269002398246,340.056671143,179.579910278,107.809631348,28.4016170502,29.1098995209,64.8741149902,59.5993843079,55.1201019287,49.9651832581,0.722671683913
4147,0.178479306712,0.601814736119,0.579066368862,1305.5682373,73.0802307129,169.541046143,90.3254318237,26.0033493042,0.0,17.627532959,35.8513145447,33.3810653687,
4499,0.14397971739,0.0692746801028,0.0782244771933,404.881378174,35.7687492371,6.97906684875,1.69908332825,4.9250330925,,21.8371162415,26.4997501373,62.9500808716,0.302163687676
4601,0.278734600373,0.229806707792,0.232665206824,546.371154785,59.1440353394,0.987366676331,7.96741628647,35.2364654541,53.3793678284,49.453868866,48.414352417,52.7286491394,
4703,0.208290375896,0.193890679287,0.1894242204,420.274719238,65.3112640381,34.3344497681,1.10808336735,0.00010000000475,34.3339195251,31.3496322632,29.73736763,29.4516506195,0.216933207902
4830,0.215442007529,0.317967607885,0.369042902222,809.690551758,,,,,51.2670822144,49.2078819275,41.1373329163,39.0771827698,0.590592662277
4920,0.333491287477,0.238263802132,0.167322898751,387.565612793,159.41595459,63.963684082,0.0,0.0,38.0437431335,28.3945999146,27.7723674774,26.7625999451,0.466415804327
4974,0.575449399076,0.454366096868,0.267689679444,419.892791748,569.895141602,362.140472412,63.1572341919,14.2754497528,38.2271347046,39.8861160278,35.9520835876,31.6116828918,0.293697083725
5187,0.679839382555,0.685466089428,0.664243698986,1411.53173828,,,,,,,,,0.565757290687
5652,0.328821859069,0.304179078667,0.254520099741,477.278167725,92.7406158447,60.7117500305,11.0744171143,0.0,48.0248527527,50.2557868958,41.660949707,39.6153182983,0.250987770461
5904,0.254208443514,0.287888790355,0.175586461134,403.626190186,185.693588257,158.107025146,0.949200034142,1.14655005932,73.4453811646,74.6874008179,68.258430481,62.411365509,0.285983066792
6083,0.0427862060504,0.268048863864,0.391733684865,1159.31518555,,,,,,,,,0.121919096896
6148,0.315485497489,0.313929320467,0.325472575742,804.612548828,32.9533843994,11.9964666367,6.17840003967,5.15133333206,76.1748809814,73.7373962402,65.9443664551,64.0643997192,0.355597365945
6264,0.215293079667,0.166699447054,0.16175538552,374.829071045,39.5333023071,4.80861663818,0.00479999976233,0.0120999999344,175.351074219,173.117706299,166.381988525,173.640777588,0.0372530573848
6888,0.189910719112,0.166593452375,0.16104892967,458.822906494,,,,,54.473865509,54.1733016968,47.5404510498,69.7100982666,0.484854186265
6956,0.337333026012,0.29840198962,0.234871384494,510.082092285,,,,,72.2961196899,70.682762146,63.5588531494,68.291633606,0.0
7001,0.556342941529,0.516279211745,0.414202050415,479.228546143,378.914764404,216.221893311,124.777954102,3.48140001297,,,,,0.228598306679
7818,0.0,0.175702821662,0.18230766247,491.398651123,0.000300000014249,72.8973693848,0.547516644001,0.0,1.98765003681,43.3957672119,41.2288169861,39.5372009277,0.018062088429
8273,1.0,0.898003320982,0.717254467609,1130.39025879,225.965942383,203.344161987,60.4163513184,19.9545154572,113.256072998,114.102470398,112.417236328,106.702102661,1.0
8368,0.21336346905,0.176550810036,0.145668886714,349.523651123,173.887664795,128.153869629,71.729385376,80.4353485107,77.5013809204,73.2455825806,72.0002059937,70.3301620483,0.230103480715
8395,0.0938075979708,0.334832411801,0.137985053803,253.650650024,99.8023376465,270.207275391,9.1573343277,0.159466668963,,,,,0.136782690499
8622,0.115358021134,0.123006633364,0.115301937247,249.547317505,28.0916996002,4.6767168045,0.504149973392,0.384883344173,47.5770149231,50.5761032104,44.1003990173,44.65026474,0.0376293508937
8729,0.251101597294,0.240449743189,0.224691702569,331.891723633,32.7609672546,9.04489994049,1.58166658878,0.591666698456,125.275749207,116.974456787,93.3371353149,75.1317214966,0.287488240828
8862,0.0531356481001,0.051208539984,0.0369201911646,84.8162536621,19.517999649,14.3321838379,2.48166680336,2.54556655884,51.5066680908,50.8675498962,35.891582489,27.49451828,0.018062088429
9085,0.0591817928279,0.160212204488,0.186426679743,391.665740967,40.173034668,3.28716683388,0.0237999986857,0.0227666664869,60.8490829468,59.5451698303,51.195766449,49.2357673645,0.17516462841
9156,0.284598298414,0.230444021878,0.157389985929,310.9894104,207.151855469,99.1971664429,1.42491674423,0.288049995899,,,,,0.142427093133
9341,0.665545525911,0.615016991455,0.543169524915,933.477905273,404.264282227,292.994384766,153.197296143,21.0027160645,88.9801635742,90.0036468506,90.2376785278,87.1556625366,0.4
9818,0.585777374534,0.474895058393,0.293743205546,504.140930176,457.471130371,300.64239502,82.4139862061,0.0,50.9821166992,47.6578330994,40.6716499329,37.9366989136,0.249294449671
