,aggregate_7,aggregate_8,aggregate_9,hvac_7,hvac_8,hvac_9,fridge_7,fridge_8,fridge_9,dw_7,dw_8,dw_9,mw_7,mw_8,mw_9,area
54,436.139068604,446.90045166,327.615478516,149.310195923,158.417160034,120.083450317,37.8343009949,38.1031990051,28.7272167206,15.4902667999,14.1735830307,8.48729991913,7.21811676025,2.90394997597,1.89261674881,
203,684.906738281,581.930053711,447.470214844,258.869934082,232.730651855,174.584365845,56.4489479065,44.7653846741,39.7421340942,0.5992166996,0.000666666601319,0.545716702938,11.2037172318,9.83031654358,7.5559835434,1555.0
1450,917.428649902,1176.81640625,1098.12512207,296.445068359,454.090759277,469.634796143,72.5877532959,54.0189476013,52.2227668762,19.5100002289,22.2500171661,19.9134998322,19.3981666565,26.4271659851,14.663066864,1575.0
1731,827.700622559,836.793151855,1013.36553955,289.619293213,305.011932373,390.342132568,44.5156669617,45.9550361633,42.5995674133,4.94716644287,4.17133331299,5.39804983139,5.7659163475,6.29600000381,6.07818317413,1555.0
2354,878.555725098,801.021972656,881.354492188,350.511749268,297.995849609,309.096862793,,,,19.1264343262,18.4846992493,17.3559818268,22.5558338165,22.3768997192,18.119550705,2180.0
2606,652.447692871,714.180175781,838.906677246,286.592285156,325.527496338,420.43560791,,,,1.25419998169,1.26993334293,4.07781648636,5.27463340759,4.38490009308,5.02453327179,1390.0
3687,859.141662598,866.705444336,726.425354004,289.946289062,325.588562012,266.525909424,140.171218872,138.987930298,130.50151062,1.76071667671,2.8656001091,2.85431671143,9.02943325043,8.2420167923,5.39653301239,
3864,337.748779297,431.279388428,568.223693848,125.890953064,202.170043945,321.311798096,42.8000526428,41.8611183167,41.7747497559,1.23306667805,4.64898347855,2.41356658936,6.3096165657,6.1105670929,6.28921699524,1464.0
3938,284.619445801,264.80078125,170.460784912,61.7064476013,68.1060333252,7.28703308105,47.4561691284,42.7637329102,41.9232330322,18.8069667816,15.7155828476,10.0268497467,6.1969165802,4.66984987259,2.80330014229,1120.0
4083,217.443023682,203.296890259,148.00819397,66.3532791138,47.63697052,43.0623664856,36.8721466064,39.0735015869,29.2929153442,1.18516659737,1.68291664124,0.555566728115,0.610316634178,0.632183372974,0.664283335209,
4095,905.415161133,959.67980957,1248.66638184,324.8046875,371.791625977,498.784088135,54.1901168823,53.9893531799,57.1481819153,23.0308494568,20.267698288,21.8589992523,5.66668319702,5.77628326416,8.97119998932,
4495,199.612716675,191.759002686,216.998947144,15.5221500397,14.5341835022,32.4055671692,38.3423309326,37.5746154785,31.9811992645,4.29531621933,2.83583331108,2.81741666794,3.99286675453,4.52439975739,4.34289979935,1087.0
4934,188.149780273,225.514968872,385.736022949,40.9594345093,34.3173828125,151.208251953,46.54529953,47.7055015564,49.1173324585,1.72506666183,3.26964998245,5.1533665657,4.60903310776,5.25745010376,5.32079982758,1547.0
5938,175.67829895,193.50869751,258.67755127,0.0177166666836,0.020883332938,68.0537948608,39.1976165771,39.6428985596,39.1306190491,0.0,0.0,0.0,8.58029937744,8.72991657257,7.85943317413,1476.0
6377,317.070220947,349.769226074,372.963134766,31.2601337433,68.5767059326,119.479034424,45.7896842957,44.2483825684,42.7362861633,0.0,1.37680006027,0.0,43.0227355957,36.9933815002,44.6146469116,
6429,142.164672852,165.440658569,162.147018433,49.736618042,68.257019043,64.1156311035,31.1036663055,31.5393829346,32.8804664612,0.000716666632798,0.000699999975041,0.0,0.663133382797,1.18900001049,1.00266671181,
6547,223.679946899,300.884613037,332.907775879,32.1529502869,76.1743392944,118.471450806,53.76720047,57.5789337158,54.0923843384,1.79980003834,1.74833333492,0.860283315182,5.34389972687,6.4889998436,7.14861679077,1547.0
7062,674.892028809,624.623291016,801.737365723,16.1740341187,29.2322330475,21.1880989075,60.8681488037,59.0110015869,58.031463623,11.1803665161,8.63231658936,10.6958332062,5.12424993515,4.96678304672,4.67883348465,1400.0
7114,465.081878662,554.057189941,578.780029297,182.314208984,249.434173584,265.238800049,53.6693496704,57.1855659485,50.5395507812,5.22926664352,5.48248338699,6.1670832634,11.0014505386,16.1931343079,14.4164505005,1401.0
7409,202.511825562,445.091400146,460.613372803,61.9229354858,202.549575806,226.390686035,36.2913322449,34.0905647278,33.3924636841,2.78576660156,7.16686677933,4.35231685638,0.623933374882,1.23641657829,2.76605010033,
7639,453.67578125,390.262756348,475.935058594,130.283996582,90.8462219238,143.777542114,52.4487190247,48.454536438,33.1279983521,0.799550056458,0.00829999987036,0.0051333331503,3.17218327522,2.51480007172,2.89453339577,
8061,706.77722168,805.025817871,757.957580566,315.256561279,350.358428955,319.62512207,55.3403511047,64.4597854614,63.1706161499,7.93778324127,12.1235494614,11.1218833923,7.10279989243,8.51154994965,7.74098348618,1600.0
8342,145.559661865,155.290481567,211.376296997,11.5423660278,7.63408327103,56.4054985046,48.2826499939,50.1603507996,51.0463829041,0.0,0.707450032234,0.0,5.37995004654,4.50460004807,4.15656709671,1401.0
8574,472.273376465,523.257202148,512.785949707,55.6055526733,105.723518372,172.534805298,41.6321029663,45.1372833252,34.0931854248,1.15130007267,3.27681660652,2.67989993095,2.09346652031,2.69710016251,2.18916678429,1400.0
8733,818.534790039,870.676208496,829.74987793,234.29901123,282.283966064,325.911987305,54.4698829651,51.5908660889,48.6566696167,49.4769325256,37.3529167175,26.4522323608,8.24279975891,8.92631626129,4.9499669075,
9213,272.4190979,345.567443848,411.547149658,81.5912780762,108.520370483,151.750686646,33.7723846436,39.6436500549,45.3411979675,3.99268341064,6.99873352051,7.00269985199,1.32440006733,2.97993326187,3.37828326225,
9370,1031.64294434,1135.63000488,1228.71508789,519.166381836,543.011291504,561.690917969,67.3957061768,78.3856048584,72.7796783447,14.0487661362,20.3820838928,12.9421339035,5.87713336945,6.66966629028,6.33711671829,2050.0
9585,451.481689453,409.736297607,510.847351074,191.078262329,170.590774536,219.887939453,37.6935653687,35.1800804138,34.7305145264,4.59831666946,5.36406707764,6.89888334274,21.6237678528,20.6908016205,19.2150325775,
9612,662.011962891,730.806640625,722.555297852,330.61730957,379.253234863,375.603881836,63.2046852112,68.7603225708,64.8870697021,0.600733339787,1.27094995975,1.95608341694,14.482583046,7.26410007477,5.91238307953,1555.0
9775,396.423034668,527.657958984,623.585388184,0.00246666674502,95.9548339844,203.961410522,45.1652336121,49.2032852173,52.1862335205,0.000250000011874,0.00010000000475,0.310433328152,,,,2300.0
